Date,Equity
2015-02-10,130297
2015-02-11,130061
2015-02-12,131750
2015-02-13,133226
2015-02-17,131728
2015-02-18,130966
2015-02-19,131736
2015-02-20,130784
2015-02-23,129076
2015-02-24,130090
2015-02-25,131978
2015-02-26,134796
2015-02-27,135504
2015-03-02,138644
2015-03-03,139202
2015-03-04,139137
2015-03-05,139613
2015-03-06,137757
2015-03-09,138040
2015-03-10,134682
2015-03-11,133752
2015-03-12,134803
2015-03-13,132815
2015-03-16,134560
2015-03-17,133670
2015-03-18,135771
2015-03-19,135405
2015-03-20,135980
2015-03-23,135604
2015-03-24,135604
2015-03-25,135604
2015-03-26,135604
2015-03-27,135604
2015-03-30,135604
2015-03-31,135604
2015-04-01,135604
2015-04-02,135604
2015-04-06,135604
2015-04-07,135604
2015-04-08,135604
2015-04-09,135604
2015-04-10,135604
2015-04-13,135604
2015-04-14,135604
2015-04-15,135604
2015-04-16,135604
2015-04-17,135604
2015-04-20,135604
2015-04-21,135604
2015-04-22,135604
2015-04-23,135604
2015-04-24,135604
2015-04-27,135604
2015-04-28,135604
2015-04-29,135604
2015-04-30,132369
2015-05-01,132507
2015-05-04,133217
2015-05-05,130758
2015-05-06,129137
2015-05-07,130734
2015-05-08,132586
2015-05-11,131965
2015-05-12,130325
2015-05-13,130325
2015-05-14,130325
2015-05-15,130325
2015-05-18,130325
2015-05-19,130325
2015-05-20,130325
2015-05-21,130325
2015-05-22,130325
2015-05-26,130325
2015-05-27,130325
2015-05-28,130325
2015-05-29,128895
2015-06-01,129351
2015-06-02,130608
2015-06-03,130882
2015-06-04,130007
2015-06-05,129191
2015-06-08,127616
2015-06-09,127582
2015-06-10,127582
2015-06-11,127582
2015-06-12,127582
2015-06-15,127582
2015-06-16,127582
2015-06-17,127582
2015-06-18,127582
2015-06-19,127582
2015-06-22,127582
2015-06-23,127582
2015-06-24,127582
2015-06-25,127582
2015-06-26,127582
2015-06-29,123845
2015-06-30,123605
2015-07-01,123921
2015-07-02,124291
2015-07-06,124163
2015-07-07,124163
2015-07-08,124163
2015-07-09,124163
2015-07-10,124163
2015-07-13,124163
2015-07-14,124163
2015-07-15,124163
2015-07-16,124163
2015-07-17,147850
2015-07-20,145673
2015-07-21,145514
2015-07-22,145470
2015-07-23,141555
2015-07-24,137003
2015-07-27,137816
2015-07-28,137978
2015-07-29,138842
2015-07-30,138987
2015-07-31,137453
2015-08-03,138684
2015-08-04,138253
2015-08-05,141445
2015-08-06,141204
2015-08-07,139582
2015-08-10,139237
2015-08-11,145180
2015-08-12,144912
2015-08-13,144229
2015-08-14,144229
2015-08-17,144229
2015-08-18,144082
2015-08-19,145129
2015-08-20,142040
2015-08-21,134497
2015-08-24,129475
2015-08-25,127817
2015-08-26,138041
2015-08-27,140015
2015-08-28,140015
2015-08-31,140015
2015-09-01,140015
2015-09-02,140015
2015-09-03,140015
2015-09-04,140015
2015-09-08,140015
2015-09-09,140015
2015-09-10,140015
2015-09-11,140015
2015-09-14,140015
2015-09-15,140015
2015-09-16,140015
2015-09-17,140015
2015-09-18,140015
2015-09-21,139718
2015-09-22,136915
2015-09-23,136842
2015-09-24,137599
2015-09-25,134558
2015-09-28,130802
2015-09-29,130820
2015-09-30,133777
2015-10-01,134408
2015-10-02,134408
2015-10-05,134408
2015-10-06,134408
2015-10-07,134408
2015-10-08,134408
2015-10-09,134408
2015-10-12,134408
2015-10-13,134408
2015-10-14,136082
2015-10-15,138293
2015-10-16,138389
2015-10-19,139204
2015-10-20,135898
2015-10-21,134295
2015-10-22,136214
2015-10-23,146707
2015-10-26,148960
2015-10-27,148063
2015-10-28,148995
2015-10-29,149825
2015-10-30,148548
2015-11-02,150701
2015-11-03,150920
2015-11-04,152164
2015-11-05,152820
2015-11-06,153344
2015-11-09,151491
2015-11-10,152207
2015-11-11,153687
2015-11-12,152816
2015-11-13,149842
2015-11-16,152341
2015-11-17,151576
2015-11-18,154648
2015-11-19,154316
2015-11-20,158118
2015-11-23,157988
2015-11-24,156379
2015-11-25,156352
2015-11-27,156793
2015-11-30,155192
2015-12-01,160299
2015-12-02,159325
2015-12-03,157269
2015-12-04,160251
2015-12-07,159507
2015-12-08,159323
2015-12-09,157075
2015-12-10,156625
2015-12-11,154412
2015-12-14,156272
2015-12-15,155359
2015-12-16,158429
2015-12-17,156619
2015-12-18,154504
2015-12-21,156272
2015-12-22,156272
2015-12-23,156272
2015-12-24,156272
2015-12-28,156272
2015-12-29,156272
2015-12-30,156272
2015-12-31,156272
2016-01-04,150655
2016-01-05,150805
2016-01-06,151016
2016-01-07,147517
2016-01-08,145097
2016-01-11,145413
2016-01-12,147452
2016-01-13,147452
2016-01-14,147452
2016-01-15,147452
